"RLS","climate_change_factor","mean_t_survived","N_survived","mean_t_extinct","N_extinct","extinction_ratio"
"CRW_patch_l_1",0,2601,24,98,1,0.04
"CRW_patch_l_1",25,2601,24,116,1,0.04
"CRW_patch_l_1",50,2601,20,94.8,5,0.2
"CRW_patch_l_1",75,2601,17,125.5,8,0.32
"CRW_patch_l_1",100,2601,6,86.3684210526316,19,0.76
"CRW_patch_l_1",101,0,0,0,25,1
"CRW_patch_m_1",0,2601,25,NA,0,0
"CRW_patch_m_1",25,2601,25,NA,0,0
"CRW_patch_m_1",50,2601,20,114.8,5,0.2
"CRW_patch_m_1",75,2601,16,308.888888888889,9,0.36
"CRW_patch_m_1",100,2601,13,83.1666666666667,12,0.48
"CRW_patch_m_1",101,0,0,0,25,1
"CRW_patch_s_1",0,2601,24,131,1,0.04
"CRW_patch_s_1",25,2601,25,NA,0,0
"CRW_patch_s_1",50,2601,23,109,2,0.08
"CRW_patch_s_1",75,2601,20,319.4,5,0.2
"CRW_patch_s_1",100,2601,14,87.7272727272727,11,0.44
"CRW_patch_s_1",101,0,0,0,25,1
"CRW_rand_2",0,2601,23,96.5,2,0.08
"CRW_rand_2",25,2601,25,NA,0,0
"CRW_rand_2",50,2601,16,135.555555555556,9,0.36
"CRW_rand_2",75,2601,14,184.454545454545,11,0.44
"CRW_rand_2",100,2601,12,93.1538461538462,13,0.52
"CRW_rand_2",101,0,0,0,25,1
"HD-CRW_patch_l_1",0,2601,25,NA,0,0
"HD-CRW_patch_l_1",25,2601,25,NA,0,0
"HD-CRW_patch_l_1",50,2601,25,NA,0,0
"HD-CRW_patch_l_1",75,2601,25,NA,0,0
"HD-CRW_patch_l_1",100,2601,12,88,13,0.52
"HD-CRW_patch_l_1",101,0,0,0,25,1
"HD-CRW_patch_m_1",0,2601,25,NA,0,0
"HD-CRW_patch_m_1",25,2601,23,91.5,2,0.08
"HD-CRW_patch_m_1",50,2601,24,106,1,0.04
"HD-CRW_patch_m_1",75,2601,23,93.5,2,0.08
"HD-CRW_patch_m_1",100,2601,18,80.2857142857143,7,0.28
"HD-CRW_patch_m_1",101,0,0,0,25,1
"HD-CRW_patch_s_1",0,2601,25,NA,0,0
"HD-CRW_patch_s_1",25,2601,24,106,1,0.04
"HD-CRW_patch_s_1",50,2601,25,NA,0,0
"HD-CRW_patch_s_1",75,2601,24,102,1,0.04
"HD-CRW_patch_s_1",100,2601,20,86.2,5,0.2
"HD-CRW_patch_s_1",101,0,0,0,25,1
"HD-CRW_rand_2",0,2601,24,279,1,0.04
"HD-CRW_rand_2",25,2601,25,NA,0,0
"HD-CRW_rand_2",50,2601,25,NA,0,0
"HD-CRW_rand_2",75,2601,24,128,1,0.04
"HD-CRW_rand_2",100,2601,23,88.5,2,0.08
"HD-CRW_rand_2",101,0,0,0,25,1
"OFF_patch_l_1",0,2601,25,NA,0,0
"OFF_patch_l_1",25,2601,25,NA,0,0
"OFF_patch_l_1",50,2601,25,NA,0,0
"OFF_patch_l_1",75,2601,25,NA,0,0
"OFF_patch_l_1",100,2601,96,75.25,4,0.02
"OFF_patch_l_1",101,0,0,0,25,1
"OFF_patch_m_1",0,2601,25,NA,0,0
"OFF_patch_m_1",25,2601,25,NA,0,0
"OFF_patch_m_1",50,2601,25,NA,0,0
"OFF_patch_m_1",75,2601,25,NA,0,0
"OFF_patch_m_1",100,2601,22,299.666666666667,3,0.12
"OFF_patch_m_1",101,0,0,0,25,1
"OFF_patch_s_1",0,2601,25,NA,0,0
"OFF_patch_s_1",25,2601,25,NA,0,0
"OFF_patch_s_1",50,2601,24,2453,1,0.04
"OFF_patch_s_1",75,2601,25,NA,0,0
"OFF_patch_s_1",100,2601,79,450.85714,21,0.21
"OFF_patch_s_1",101,0,0,0,25,1
"OFF_rand_2",0,2601,25,NA,0,0
"OFF_rand_2",25,2601,25,NA,0,0
"OFF_rand_2",50,2601,24,2448,1,0.04
"OFF_rand_2",75,2601,24,2569,1,0.04
"OFF_rand_2",100,2601,25,NA,0,0
"OFF_rand_2",101,0,0,0,25,1
